Datum Tid (UTC) Lufttemperatur Kvalitet
1963 07 29 16.1 G
1963 07 30 17.1667 G
1963 07 31 16.3333 G
1963 08 01 19.2 G
1963 08 02 21.4 G
1963 08 03 23.2 G
1963 08 04 23.1333 G
1963 08 05 21.6 G
1963 08 06 22.4 G
1963 08 07 23 G
1963 08 08 19.3 G
1963 08 09 17.7333 G
1963 08 10 15.6 G
1963 08 11 16.2 G
1963 08 12 17 G
1963 08 13 14.3 G
1963 08 14 16.6333 G
1963 08 15 14.5333 G
1963 08 16 16 G
1963 08 17 16.3333 G
1963 08 18 16.7333 G
1963 08 19 15.3667 G
1963 08 20 13.5333 G
1963 08 21 14.0667 G
1963 08 22 14.0333 G
1963 08 23 14.7667 G
1963 08 24 15.2667 G
1963 08 25 14.3 G
1963 08 26 16.0333 G
1963 08 27 15.6333 G
1963 08 28 14.9333 G
1963 08 29 12.7333 G
1963 08 30 14.2 G
1963 08 31 14.4 G
1963 09 01 14.8333 G
1963 09 02 15.2667 G
1963 09 03 17.1667 G
1963 09 04 14.4 G
1963 09 05 15.2667 G
1963 09 06 14 G
1963 09 07 13.3 G
1963 09 08 12.8 G
1963 09 09 15.3333 G
1963 09 10 13.3667 G
1963 09 11 13.3 G
1963 09 12 14.2667 G
1963 09 13 12.6667 G
1963 09 14 14.5667 G
1963 09 15 14.6 G
1963 09 16 15.8667 G
1963 09 17 16.3333 G
1963 09 18 14.4667 G
1963 09 19 12.9667 G
1963 09 20 10.9 G
1963 09 21 13.3667 G
1963 09 22 14.6 G
1963 09 23 14.5333 G
1963 09 24 15.3333 G
1963 09 25 13.7 G
1963 09 26 9.9 G
1963 09 27 11.0333 G
1963 09 28 10.8333 G
1963 09 29 9.3 G
1963 09 30 9.93333 G
1963 10 01 9.93333 G
1963 10 02 10 G
1963 10 03 10.0333 G
1963 10 04 10.6 G
